ticker,symbol,future,expiry,tframe,datetime,time,open,high,low,close,tick_volume,spread,real_volume
BIT,BITV25,V25,2025-11-01,M30,2025-10-13 17:00:00,1760374800,638680.0,639420.0,637260.0,637360.0,4513,20,25594
BIT,BITV25,V25,2025-11-01,M30,2025-10-13 17:30:00,1760376600,637300.0,639500.0,636280.0,639460.0,4510,20,26458
BIT,BITV25,V25,2025-11-01,M30,2025-10-13 18:00:00,1760378400,639300.0,639900.0,636020.0,638280.0,2046,20,14130
BIT,BITV25,V25,2025-11-01,M30,2025-10-14 09:00:00,1760432400,617220.0,619080.0,615160.0,616580.0,12990,20,78117
BIT,BITV25,V25,2025-11-01,M30,2025-10-14 09:30:00,1760434200,616500.0,616940.0,613860.0,614980.0,8970,20,34076
BIT,BITV25,V25,2025-11-01,M30,2025-10-14 10:00:00,1760436000,614980.0,616180.0,612280.0,615140.0,9503,20,36568
BIT,BITV25,V25,2025-11-01,M30,2025-10-14 10:30:00,1760437800,615240.0,618620.0,609880.0,616940.0,16846,20,90981
BIT,BITV25,V25,2025-11-01,M30,2025-10-14 11:00:00,1760439600,616920.0,623140.0,616180.0,620800.0,10352,20,59958
BIT,BITV25,V25,2025-11-01,M30,2025-10-14 11:30:00,1760441400,620780.0,621680.0,617380.0,618180.0,8242,20,46802
BIT,BITV25,V25,2025-11-01,M30,2025-10-14 12:00:00,1760443200,618240.0,620120.0,616040.0,619240.0,7024,20,40216
BIT,BITV25,V25,2025-11-01,M30,2025-10-14 12:30:00,1760445000,619260.0,624120.0,618520.0,624020.0,7973,20,54802
BIT,BITV25,V25,2025-11-01,M30,2025-10-14 13:00:00,1760446800,624100.0,625000.0,620840.0,622880.0,7497,20,50477
BIT,BITV25,V25,2025-11-01,M30,2025-10-14 13:30:00,1760448600,622880.0,623600.0,618840.0,619640.0,6514,20,42557
BIT,BITV25,V25,2025-11-01,M30,2025-10-14 14:00:00,1760450400,619560.0,623360.0,616540.0,622580.0,7546,20,50648
BIT,BITV25,V25,2025-11-01,M30,2025-10-14 14:30:00,1760452200,622640.0,623100.0,620020.0,621500.0,4759,20,32198
BIT,BITV25,V25,2025-11-01,M30,2025-10-14 15:00:00,1760454000,621600.0,625420.0,621060.0,623860.0,5516,20,35881
BIT,BITV25,V25,2025-11-01,M30,2025-10-14 15:30:00,1760455800,623960.0,624960.0,621000.0,622200.0,5384,20,33544
BIT,BITV25,V25,2025-11-01,M30,2025-10-14 16:00:00,1760457600,622200.0,626320.0,622200.0,625160.0,5329,20,31181
BIT,BITV25,V25,2025-11-01,M30,2025-10-14 16:30:00,1760459400,625120.0,625800.0,618460.0,621380.0,11659,20,74263
BIT,BITV25,V25,2025-11-01,M30,2025-10-14 17:00:00,1760461200,621400.0,624040.0,620040.0,623420.0,3824,20,22728
BIT,BITV25,V25,2025-11-01,M30,2025-10-14 17:30:00,1760463000,623340.0,625500.0,623080.0,625320.0,2511,20,12606
BIT,BITV25,V25,2025-11-01,M30,2025-10-14 18:00:00,1760464800,625320.0,626180.0,623660.0,625920.0,1418,20,6925
BIT,BITV25,V25,2025-11-01,M30,2025-10-15 09:00:00,1760518800,616960.0,617920.0,613680.0,614340.0,8118,20,30417
BIT,BITV25,V25,2025-11-01,M30,2025-10-15 09:30:00,1760520600,614420.0,616700.0,613820.0,614700.0,6899,20,28450
BIT,BITV25,V25,2025-11-01,M30,2025-10-15 10:00:00,1760522400,614600.0,615020.0,612240.0,612560.0,7128,20,33386
BIT,BITV25,V25,2025-11-01,M30,2025-10-15 10:30:00,1760524200,612440.0,615080.0,608280.0,611320.0,17156,20,104805
BIT,BITV25,V25,2025-11-01,M30,2025-10-15 11:00:00,1760526000,611300.0,616240.0,611300.0,614820.0,9438,20,61038
BIT,BITV25,V25,2025-11-01,M30,2025-10-15 11:30:00,1760527800,614840.0,615040.0,607720.0,608440.0,10782,20,65834
BIT,BITV25,V25,2025-11-01,M30,2025-10-15 12:00:00,1760529600,608460.0,611920.0,606720.0,609740.0,9747,20,60865
BIT,BITV25,V25,2025-11-01,M30,2025-10-15 12:30:00,1760531400,609620.0,610760.0,605660.0,607840.0,7630,20,52281
BIT,BITV25,V25,2025-11-01,M30,2025-10-15 13:00:00,1760533200,607860.0,609840.0,607060.0,608800.0,5439,20,34043
BIT,BITV25,V25,2025-11-01,M30,2025-10-15 13:30:00,1760535000,608860.0,609500.0,606680.0,607640.0,4195,20,30343
BIT,BITV25,V25,2025-11-01,M30,2025-10-15 14:00:00,1760536800,607720.0,608840.0,605860.0,607180.0,6377,20,43279
BIT,BITV25,V25,2025-11-01,M30,2025-10-15 14:30:00,1760538600,607220.0,611220.0,606080.0,611180.0,5039,20,31294
BIT,BITV25,V25,2025-11-01,M30,2025-10-15 15:00:00,1760540400,611140.0,611920.0,609040.0,611120.0,5643,20,37275
BIT,BITV25,V25,2025-11-01,M30,2025-10-15 15:30:00,1760542200,611060.0,612960.0,609880.0,612580.0,5355,20,31422
BIT,BITV25,V25,2025-11-01,M30,2025-10-15 16:00:00,1760544000,612540.0,613060.0,610680.0,612760.0,4173,20,25881
BIT,BITV25,V25,2025-11-01,M30,2025-10-15 16:30:00,1760545800,612760.0,613320.0,611100.0,612100.0,4322,20,28235
BIT,BITV25,V25,2025-11-01,M30,2025-10-15 17:00:00,1760547600,612200.0,613580.0,610440.0,610700.0,3796,20,19259
BIT,BITV25,V25,2025-11-01,M30,2025-10-15 17:30:00,1760549400,610720.0,612460.0,608040.0,610600.0,6538,20,39793
